address,score,amount,category
io156ux53kqts9z6k05v2gvgvk0vw6hru7a08w43e,50,423932396913772096,earlybird
io1tsx9kq38hm0kalt87sej5t03ytgla7qj72la2c,50,423932396913772096,earlybird
io1wk2mwyntjvxj9mfngcr3670pz76fxmq98nrdya,50,423932396913772096,earlybird
io10mpvuastzp8ngnpwjt9mgl7ssymracvdj76fy9,50,423932396913772096,earlybird
io1gnhz5re8hra5jay5j394an3jy7ezn3ajczxp0e,50,423932396913772096,earlybird
io1ax047cetp2s99kkucnhwmz37awhglz6wastr5d,50,423932396913772096,earlybird
io1ee93qkutrphvq6rhu7wlwtyu3z8srxlj85h9x3,100,847864793827544192,earlybird
io1q7swmnsjsq6h45k3lg76h5f558kdxz45vju7tm,50,423932396913772096,earlybird
io1krwn82flyvqsxaw5ekur9mxkzw5vrlp96t8elx,50,423932396913772096,earlybird
io16v2dulz3wqzfkwld46gwy6ey0f88em9xhjtpak,50,423932396913772096,earlybird
io1xde48rrrhpspa9twdafccp0narr2tvrzula8ah,225,1907695786111974656,earlybird
io1nrjlmkjar0307a0ynn0j2ak9rgc68ayxe89tne,100,847864793827544192,earlybird
io1zdzhrvkg75y50tsxeshja86msvwxar2hyee9jp,50,423932396913772096,earlybird
io19kc62sh0u28xperqrh9036cj0dw29nual09nxm,50,423932396913772096,earlybird
io12f7vuvagqmjw3rtqlh0zfkvgd5h39qpxex8aed,50,423932396913772096,earlybird
io1g7pyz7vqv99jmsvnfd6ktfqz0h8mwh2l0f86h9,50,423932396913772096,earlybird
io100fne9szjjg3kx7h0vz2tdn9hpa323dt5k9k0d,100,847864793827544192,earlybird
io1xm5eqxx48dfnh2w9zq30hwqfekx7a4g6xw67sd,100,847864793827544192,earlybird
io1p6zfm2lld792l7ymsgfmjtfp96hkd74y04ksdk,100,847864793827544192,earlybird
io1r04jr84c9d233sykck4h89speqmyycdmff6p2h,50,423932396913772096,earlybird
io1t5q2emvakfqc6ecp05gdz83qhwz5vg643mvymr,50,423932396913772096,earlybird
io1tcslhp0jm0m95znprws97v0k8zr3v700xl2sv9,50,423932396913772096,earlybird
io16z0wrj6v78v5p65eh0ywg753gpfffrts4gyd4w,50,423932396913772096,earlybird
io19fxlzvfldpwj396t0wp2v3ff5nyzfdt4kdvhq7,50,423932396913772096,earlybird
io175cvzf6ex69klen9eaj5lylnt7jtkdrka8vdmk,50,423932396913772096,earlybird
io15rprkd6lz8sdsp7qtl2zuvp2fp05vxfxvdpfcj,50,423932396913772096,earlybird
io1rarmcesfx9qldagv6dz74fkps6s7uxrgq556w9,50,423932396913772096,earlybird
io1esyhjq3geeak07j30h93y8nuy40nk337skct6f,50,423932396913772096,earlybird
io1vccv8uj3rtf7qgu5grgny5ftca7wvhpqw0qnc4,50,423932396913772096,earlybird
io13e72920xg2g3r5d008atds8yvfh6ejnm98ahud,50,423932396913772096,earlybird
io1erax8xne588mz6sv5yrwe827h40hs2h8mgkjpu,50,423932396913772096,earlybird
io1gnwl5234kefqx8sshr9py35djr9yeqdfygh0g4,100,847864793827544192,earlybird
io1yzc53qk3hlpkcttqyr6j5aths38h4qwcuaral7,50,423932396913772096,earlybird
io124tyxwqmy3ez37ke97wg3cuv99e7vue5q399dl,50,423932396913772096,earlybird
io122hcrtuzrhg8ymtms07kpkj0tzfnzjvt5ad7xa,50,423932396913772096,earlybird
io1mf9wj9h3r6pk9gpn35jjd8qw3ud86rs2yh8l2d,50,423932396913772096,earlybird
io137ttsase76pedu6sh0h63chp0zx7trmnd4k3ek,100,847864793827544192,earlybird
io1zehtz5u6cmkxy2ka0rnej5ces44qapnsypd0ke,100,847864793827544192,earlybird
io1r4n9em327k4f76khvp2frywguctk6wedypme0m,100,847864793827544192,earlybird
io1vk8qc43czsk6e55lkcjnf8vtfkn0a5eut0ygn0,50,423932396913772096,earlybird
io1lfgmujdn580ysjhpy98s6ql0ssjjjkslnvh52c,50,423932396913772096,earlybird
io1ruaumdejh9m9j00ndwnhfjdepevn54pcwf7xmu,50,423932396913772096,earlybird
